Date,Open,High,Low,Close,Adj Close,Volume,ticker,Event
2022-06,142.6999969482422,143.49000549316406,140.97000122070312,141.66000366210938,141.66000366210938,70149200,AAPL,2022-06
2022-06,268.2099914550781,268.29998779296875,263.2799987792969,264.8900146484375,264.8900146484375,24600800,MSFT,2022-06
2022-06,39.66999816894531,39.880001068115234,38.900001525878906,39.18999862670898,39.18999862670898,7140600,TWTR,2022-06
2022-06,12.119999885559082,12.18000030517578,11.899999618530272,12.039999961853027,12.039999961853027,43953500,F,2022-06
2022-06,3.390000104904175,3.4600000381469727,3.369999885559082,3.4600000381469727,3.4600000381469727,32282100,BBD,2022-06
2022-06,4.440000057220459,4.5,4.409999847412109,4.46999979019165,4.46999979019165,38040400,ITUB,2022-06
2022-06,14.670000076293944,15.109999656677246,14.5600004196167,14.880000114440918,14.880000114440918,33832400,VALE,2022-06
2022-06,173.1199951171875,173.3000030517578,166.25999450683594,168.69000244140625,168.69000244140625,42775300,NVDA,2022-06
2022-06,20.950000762939453,21.040000915527344,20.670000076293945,20.780000686645508,20.780000686645508,32336800,T,2022-06
2022-06,11.210000038146973,11.859999656677246,11.15999984741211,11.779999732971191,11.779999732971191,41047500,PBR,2022-06
2022-06,171.32000732421875,171.75,168.00999450683594,169.49000549316406,169.49000549316406,28991704,FB,2022-06
2022-06,748.0999755859375,756.2100219726562,727.7000122070312,734.760009765625,734.760009765625,29681200,TSLA,2022-06
2022-06,51.47999954223633,52.22999954223633,51.2599983215332,51.880001068115234,51.880001068115234,16153300,PFE,2022-06
2022-06,34.9900016784668,35.31999969482422,34.34000015258789,34.630001068115234,34.630001068115234,10442200,GM,2022-06
2022-06,38.869998931884766,39.060001373291016,38.470001220703125,38.630001068115234,38.630001068115234,29575300,INTC,2022-06
2022-06,23.450000762939453,23.63999938964844,22.34499931335449,22.86000061035156,22.86000061035156,27147700,UBER,2022-06
2022-06,62.97999954223633,63.290000915527344,62.630001068115234,62.90999984741211,62.90999984741211,12141200,KO,2022-06
2022-06,35.439998626708984,35.75,35.150001525878906,35.36000061035156,35.36000061035156,5804500,HPQ,2022-06
2022-06,98.22000122070312,98.2300033569336,95.8000030517578,96.61000061035156,96.61000061035156,10789300,DIS,2022-06
2022-06,2.039999961853028,2.0999999046325684,2.009999990463257,2.0899999141693115,2.0899999141693115,6464800,CIG,2022-06
2022-06,142.1300048828125,143.4199981689453,137.32000732421875,137.44000244140625,137.44000244140625,67083400,AAPL,2022-06
2022-06,263.9800109863281,266.9100036621094,256.32000732421875,256.4800109863281,256.4800109863281,27295500,MSFT,2022-06
2022-06,39.209999084472656,39.709999084472656,38.650001525878906,38.790000915527344,38.790000915527344,6055100,TWTR,2022-06
2022-06,12.140000343322754,12.4399995803833,11.800000190734863,11.8100004196167,11.8100004196167,45866900,F,2022-06
2022-06,3.4600000381469727,3.5,3.3299999237060547,3.3499999046325684,3.3499999046325684,39085200,BBD,2022-06
2022-06,4.5,4.53000020980835,4.320000171661377,4.369999885559082,4.369999885559082,52813600,ITUB,2022-06
2022-06,15.270000457763672,15.31999969482422,14.93000030517578,15.020000457763672,15.020000457763672,36743900,VALE,2022-06
2022-06,169.0,172.02000427246094,159.4499969482422,159.82000732421875,159.82000732421875,46114900,NVDA,2022-06
2022-06,20.93000030517578,21.059999465942383,20.600000381469727,20.61000061035156,20.61000061035156,26754000,T,2022-06
2022-06,12.140000343322754,12.210000038146973,11.770000457763672,11.890000343322754,11.890000343322754,27676300,PBR,2022-06
2022-06,169.89999389648438,171.3000030517578,160.61000061035156,160.67999267578125,160.67999267578125,27385646,FB,2022-06
2022-06,733.4500122070312,749.9099731445312,697.030029296875,697.989990234375,697.989990234375,30130400,TSLA,2022-06
2022-06,51.83000183105469,51.970001220703125,50.40999984741211,50.65999984741211,50.65999984741211,16417900,PFE,2022-06
2022-06,35.189998626708984,36.130001068115234,33.95000076293945,33.9900016784668,33.9900016784668,15197100,GM,2022-06
2022-06,38.58000183105469,39.02000045776367,37.7400016784668,37.77999877929688,37.77999877929688,37824200,INTC,2022-06
2022-06,22.96999931335449,23.459999084472656,22.040000915527344,22.07999992370605,22.07999992370605,24350100,UBER,2022-06
2022-06,63.08000183105469,63.7599983215332,62.11000061035156,62.27999877929688,62.27999877929688,13150100,KO,2022-06
2022-06,35.40999984741211,35.70000076293945,34.18000030517578,34.439998626708984,34.439998626708984,7226000,HPQ,2022-06
2022-06,99.73999786376952,100.4000015258789,95.77999877929688,95.91999816894533,95.91999816894533,16812400,DIS,2022-06
2022-06,2.109999895095825,2.130000114440918,2.039999961853028,2.049999952316284,2.049999952316284,4458500,CIG,2022-06
